user,item
3689,180
978,9846
1613,2221
2063,9145
175,3556
2565,1157
4330,4872
3092,11684
3577,281
2948,2661
2819,746
1304,385
3515,6087
2367,1932
3903,2125
2292,7042
2779,6188
4112,13657
5375,890
2792,2574
3495,2038
1979,5206
5499,620
1202,6848
2692,1491
2370,9711
4862,2327
2543,4907
970,14523
501,13609
2722,16124
4428,135
3607,4588
4258,8526
1755,14722
457,6101
1859,13339
4072,6028
2638,14164
4889,11838
202,15699
4453,8786
3210,11690
3538,14521
990,1665
3515,3378
3017,6410
4688,11628
5274,12595
3367,13119
561,3721
3347,2930
3165,8390
598,5710
4995,1172
5313,2966
1663,3067
3861,4130
2089,11200
3949,8907
155,8063
1621,4179
838,14703
4164,9600
1391,767
5296,3765
2877,1164
1969,4621
1080,10656
3604,7987
5133,8332
5377,11768
975,2105
756,9983
2642,4069
249,755
772,13671
1580,8126
4824,11495
5304,2593
983,867
4916,13107
1394,13928
444,3314
4205,15046
1755,9425
4960,8639
4523,11255
3135,10484
4891,7281
5322,4649
5344,16484
1704,7545
3140,5721
1025,8262
1320,6063
4416,1400
4151,12042
4807,3558
994,1564
2868,13722
5250,15493
1683,2351
167,12468
4279,8213
4560,1919
3104,1304
1319,15793
5070,3360
3834,1376
3027,5544
3731,954
2360,6817
201,13720
794,1595
1958,221
2072,4540
1184,1589
4419,2770
2750,16659
3295,10181
72,6612
64,148
5095,7640
4260,5332
184,1086
3102,74
2946,14415
1141,5307
3268,15324
602,7410
2151,5796
2808,9026
5243,11523
4763,6663
2164,2583
2054,13465
4787,9699
4405,368
2999,11253
3697,4361
2446,909
2767,5961
1248,14426
1477,13747
2003,10049
2961,286
2068,9235
3492,14167
428,5174
4419,2755
4244,11965
2240,5728
1826,16106
5010,11635
1122,2651
713,13671
2736,4113
4611,13670
2986,10456
4463,4329
1408,1563
1432,10728
2638,12312
773,4730
4781,15127
1581,7290
76,15817
4392,7810
201,13757
1448,9259
753,11331
655,13675
1458,5602
5411,2888
1690,669
1908,2576
2011,4731
2801,914
986,3938
571,1693
4464,4765
2108,7061
3396,12703
4199,10776
880,14002
716,14017
1411,12316
2654,4418
845,6252
2657,15674
3515,3726
658,906
4099,5030
3598,2969
4471,10166
3482,14116
4071,6304
1613,453
1638,1261
2029,14227
2412,5058
4803,15044
389,39
72,4101
3639,2931
52,12680
5351,9968
4505,3721
4858,9326
2056,8438
2439,3064
5229,14607
5015,11202
4260,2736
4552,8249
5299,636
4034,5291
4896,10976
4380,6355
5218,11754
1143,2901
427,8885
1498,10822
3561,10796
127,14945
1547,12521
3251,11126
3959,2774
2797,478
3300,16503
1145,16318
2499,7350
4729,5068
1178,12121
114,14141
4975,14800
1882,758
1254,3278
3047,17
339,16098
1229,4540
4499,1538
4657,2563
3366,13704
5214,7297
2880,9527
3670,6188
1699,14
4650,9363
1280,13854
3936,3766
611,9581
5262,8366
4302,8816
2183,6321
2901,11161
1076,10213
1191,7652
5361,9067
4199,15380
1868,12744
5380,7115
3345,1266
4283,14
3209,9490
5329,8857
205,12107
752,12187
5327,4448
2573,1662
4925,3428
1823,7280
1690,13500
5217,1917
3786,917
2748,1461
3399,16839
4784,426
4722,669
1239,5052
1539,4823
923,404
4549,16456
3681,13632
2798,1203
2620,1194
1860,3989
1856,489
5119,13769
707,8846
2215,13762
4217,10432
2029,6416
3277,3236
5262,1559
147,3981
4262,2445
2701,9181
1861,1613
663,8581
56,1240
5344,16228
1422,12172
1160,9264
3352,336
4180,3605
4874,11441
3138,477
1747,3962
2940,754
3427,8975
3758,15355
5313,3654
127,16658
2426,2532
5307,4716
1107,11258
4946,13244
1908,14635
1933,1766
2779,8136
4861,2914
707,2770
5334,16399
1391,473
2404,142
5504,10869
1954,13410
840,1636
4161,5738
1145,16228
3404,8275
2639,5735
181,9503
3558,13623
343,4130
3640,9300
1826,1616
5174,10530
2056,5693
2428,6269
4020,3380
2744,13961
4559,8491
2241,1477
2517,7209
3279,586
3896,10103
234,264
355,4778
1449,1095
1134,10112
17,10918
3766,758
3506,7549
1694,47
4664,2748
5437,7545
3664,1928
2863,1199
3562,3585
3501,5733
4132,3021
2745,1720
2236,14352
2111,8434
5420,3783
1598,16065
5189,7335
2907,11892
1484,2200
623,4157
3452,521
2026,13757
2687,14979
418,3627
2273,6310
4260,2966
3867,648
2763,10427
206,7891
4656,14732
206,6310
1071,15659
5145,11336
3289,8935
5321,11203
2865,14675
778,12934
4352,4669
216,1457
2171,4179
2875,5161
2063,15633
1986,3291
65,14767
4997,13448
1211,15266
842,12477
864,33
5460,8160
4809,9046
2299,7535
3279,13343
2560,5161
4939,4002
1722,5451
3077,8818
2504,15061
1985,10836
3029,9760
1574,9598
3389,6290
4977,3563
3402,12847
2948,16590
2417,6472
608,6314
4327,12202
1641,14876
4584,5519
550,12261
3714,4449
4474,4269
3718,15309
877,11164
3064,8687
328,2489
3550,16468
4884,4080
2052,105
2110,14467
3652,129
4932,1871
537,677
1202,15029
5425,10363
5284,14001
1925,6920
2329,4994
3219,15021
1392,15796
2176,13665
4729,5104
5323,11504
2712,8613
4064,1117
5324,6040
3110,11653
4151,12946
499,88
5364,15399
3396,8854
2624,1200
2688,16251
4722,1649
5167,6733
4730,804
4455,7944
1153,3676
5299,2207
3619,12205
5005,12667
1821,10195
2194,8160
1224,8333
3152,6610
1594,5690
3733,1944
2893,7067
3757,9702
3064,9558
4102,1296
3319,1082
2218,16341
3699,10614
3570,4780
765,2719
3624,11839
5255,13757
3652,14510
2109,14631
4039,8756
2027,7536
2047,9442
1455,10600
92,120
4578,14530
4133,1963
3604,14489
598,2710
2291,6962
5050,949
1497,5805
5151,16318
1301,8330
2573,6308
1544,13891
3161,15898
1552,13789
215,7330
695,15722
5173,13942
2713,3225
1844,2781
4199,13036
5340,13863
372,12895
3195,11933
5120,16401
2588,2645
797,4063
1637,15068
13,3307
5494,135
3509,5316
1080,13607
69,8538
3988,569
2278,683
2960,13337
2473,12990
3877,531
117,1002
1495,14988
3360,2920
1025,6640
2090,277
2144,13893
2189,14042
2067,4069
984,15789
742,388
4666,4197
327,7058
1466,13217
2837,15004
276,16420
4648,4573
4721,5148
1330,9241
1232,45
4972,14716
3422,5287
472,6480
736,418
3526,437
4972,14503
4800,10327
1117,2798
45,380
2680,14088
3406,7624
3546,5230
4700,8788
308,2700
2864,9003
4105,15493
2155,1104
751,10055
386,11701
4179,2533
4521,13435
5311,6649
1166,2548
91,11505
1447,2003
3879,7421
579,11138
5209,226
2560,16205
3703,16274
2701,16341
2758,1004
2063,1187
4144,16052
276,15869
411,1226
4853,4730
664,10776
4641,12885
4026,15691
907,4574
1037,2221
2633,15521
2284,13639
205,11879
4394,11670
3785,2446
1535,3091
710,204
1519,9361
3389,14040
5315,7131
4328,5104
1059,1045
3946,9959
2739,14071
2121,3097
4891,12686
2361,6458
5203,15412
4,5056
856,1538
2340,12105
3204,13958
585,6925
