user,item
1448,13451
2054,13451
2236,13451
4154,5418
928,13453
2697,5422
5204,13453
668,13060
4919,0
5515,0
3068,13454
5545,0
256,3
3258,13455
2649,13456
1421,13081
3785,5425
1845,3
1869,3
3803,5425
1703,13457
4044,5425
4800,13081
4163,13457
2299,3
2425,3
1048,5429
3322,3
3558,3
4378,5429
4437,3
4862,3
1620,5430
2074,13461
5262,3
1739,5430
1529,13101
3077,5430
4180,5430
1040,6
2142,6
5384,5430
2299,13463
4520,6
1990,13103
4547,13463
5195,6
5262,6
2495,13103
9,5433
1839,7
1524,5433
3337,13103
4271,13103
3308,7
4182,5433
4661,13103
4871,13103
3475,5434
1074,5435
5030,13465
1536,13466
3001,8
1241,13108
3949,8
5285,13466
2907,13108
383,9
244,13110
404,13110
2336,13467
830,13110
4072,9
4200,9
1668,13110
3674,13468
2453,13110
2599,13110
2534,11
5529,13468
3249,13110
3864,13110
4275,13110
4329,11
5020,13110
2347,13116
3410,13116
3538,13471
531,5443
3918,13124
879,13472
4408,5444
5146,13472
73,14
581,5448
3279,13143
2507,5448
389,14
1466,13475
516,14
1807,13475
4750,13143
1963,13475
1957,13151
4009,13475
960,14
902,14
994,14
4732,13475
4738,13475
5085,13475
5103,13475
1237,5450
5213,13475
4151,5450
1488,5451
968,13181
1080,13181
346,13476
4891,13181
3946,5451
1080,13476
1511,14
4370,5451
1646,14
1952,13476
1647,14
2953,13476
408,5454
1827,5454
1889,13194
2645,13194
2300,14
2342,14
2345,14
1877,13477
4788,13477
2660,14
701,13478
2919,14
184,5457
3046,14
1398,5457
3685,13480
3135,14
3152,14
4011,13480
1614,5458
3132,13481
3179,13481
3492,13481
2664,13214
4557,5458
1305,5459
131,13215
132,5459
1917,5459
4803,13215
3884,14
3629,5459
2898,13482
3472,13217
4868,5459
4829,13217
4134,14
1145,13229
4647,13482
52,13231
1641,13484
5072,13484
3289,5462
1644,13485
4916,5462
334,5463
2806,13487
4134,13237
4957,13487
5021,14
4937,5465
2141,5466
35,13490
2573,5466
1230,13490
5294,14
4882,5466
1736,13490
5483,14
598,5467
2672,13490
2889,13490
1133,5467
1318,5467
4982,13490
1277,13276
2787,5467
1003,15
1042,15
1165,15
2253,13285
1511,15
1581,15
1706,15
5324,13293
50,5472
1860,15
1664,13493
1927,15
2016,15
3081,13308
3762,13308
1074,5473
3808,13308
2412,15
4837,13308
2368,13494
2501,15
4944,13308
5237,5473
5324,13308
1025,5474
2587,13309
4896,13494
2924,15
4496,5474
3047,15
1080,13495
3135,15
492,5475
2141,5475
1763,13318
2111,13318
2903,5476
3448,15
3482,13318
3737,15
